@relation 'sentences -C 5 '

@attribute isAlternative {0,1}
@attribute isPro {0,1}
@attribute isCon {0,1}
@attribute isDecision {0,1}
@attribute isIssue {0,1}
@attribute sentence string

@data
0,1,0,0,0,'By the way this patch looks good. Thanks Benson! I plan to commit this in a bit '
0,0,0,0,0,'Merged to 2.9 revision: 949507'
0,0,0,0,0,Patch.
0,0,0,0,0,'I agree, we should fix this. '
0,0,0,0,1,'We are storing the fps of the freq and pos files only because we need to synchronise the position of the \"inverted file pointer\" on each file. \r\n'
0,0,0,0,1,'here is a first patch allowing similarity be more flexible when encoding norms. '
0,0,0,1,0,'But we should probably think about better fixes for the future and avoid calling score() when it\'s not needed.'
0,0,0,0,0,'I am forgetting how concurrency will work in this case, ie,\r\ninsuring multi-threaded visibility due to the JMM. Actually,\r\nbecause we\'re pausing the writes/deletes when get reader is\r\ncalled on the DWPT, JMM'
0,0,0,0,0,'I\'ll change to a try/finally w/ a success boolean.\r\n\r\n'
0,0,0,0,0,'You can use IndexWriter#unlock to forcefully remove the lock, as a workaround.'
0,0,0,0,0,'This is a Lucene index _known_ to be corrupt . The Lucene used to create this index is 2.3.2, so during this UT I believe an index upgrade happens too.\r\n'
0,0,0,0,0,'Yes, I do hit [-LUCENE-2104-|https://issues.apache.org/jira/browse/LUCENE-2104] at the same time... nice.'
1,0,0,0,0,'EG maybe we should\r\nonly store skip data if dF >= 1024 (say), and then separately index\r\nskip data every N docs.\r\n\r\n'
0,0,0,0,0,'This exception shows a LockObtainFailed exception - can you post the one that resulted in NegativeArraySize – curious to know where you hit it, and what sort of corruption yields to that  !'
0,1,0,0,0,'So to clarify... no code (outside what the patch touches) needs adjustments?'
1,0,0,0,0,'So if the commit to TW succeeds and the commit to IW fails, you potentially don\'t end up in an inconsistent state. '
0,0,0,0,0,'Really I think topLevelScorer should be strongly typed: the intent is to declare whether you will call Scorer.score or whether you will call .nextDoc/.score ... they really should be different classes.\r\n\r\n'
0,0,0,1,0,'Lets reuse IW.deleteUnusedFiles() ?\r\n'
0,0,0,0,0,'Unfortunately the latest test failures on master make it hard to differentiate between failures caused by my changes and ones already there. '
0,1,0,0,0,'Robert\'s suggestion was to enable \"all\" warnings, but IMHO this is a bad idea, because if somebody compiles with a later Java version, the build may suddenly fail (because a later version of the compiler added a new warning type).\r\n\r\n'
0,0,0,1,0,'Because most of the dictionaries are L/GPL, I\'ve written my own dumb stupid dictionary for test purposes.\r\n\r\n'
0,1,0,0,0,'Yes, the build passes for me with only the two additional changes in WordDictionary and SimpleServer.\r\n\r\n'
0,0,0,1,0,'Committed revision 1328981 for the xml queryparser support. Thanks again. '
0,0,0,1,0,'I also have a sneaking suspicion that this only affects lucene and solr is somehow ignoring it, but couldn\'t find anything to confirm that.'
0,0,0,1,0,'I am not sure if the warning exclusions are really needed, because we no longer have the general -Xlint. '
0,0,0,1,0,'I am for using this patch. '
0,0,0,1,0,'committed and resolved, thanks '
1,0,0,0,0,'If we implement deletes via sequence id across all segments, then the .del file should probably remain the same (a set of bits)? '
0,0,0,0,0,'would be:\r\nBS1 completely violates the scorer interface, the only method you can call is the one taking a Collector. '
0,0,0,0,0,'In regards to the deltas, when they\'re in RAM , I\'m guessing we\'d need to place the updates into a hash map ? '
0,0,0,0,0,'\r\nTrue, however I figured it\'d be best to try our own dog food, or\r\nAPIs. '
0,0,0,0,0,'\r\n+1, i think for freq and getChildren we should throw UOE with text like this. '
1,0,0,0,0,'I think the main issue right now is the concurrency of the\r\n*BlockPools from [LUCENE-2575|https://issues.apache.org/jira/browse/LUCENE-2575]. '
0,0,0,0,0,'ProIn my case it was \"retrieving the subquery score\"...\r\nquot'
0,0,0,0,0,'For the deleted docs sequence id array, perhaps I\'m a little bit\r\nconfused, but how will we signify in the sequence id array if a\r\ndocument is deleted? '
0,0,0,0,0,'An idea  '
0,0,0,0,0,'+1\r\n\r\nBut we should word it as a \"workaround\" ... ie, it\'s sort of strange that returning false from this unrelated method means suddenly scorer.freq works: that\'s really an implementation detail. '
0,0,0,0,0,'However we\'re using readers to do the merging so this really won\'t be useful?'
0,1,0,0,0,'We had to delete it since we re-integrated it for DocumentsWriterPerThread. '
0,0,0,0,0,'Maybe this is a good first step? '
0,0,0,0,0,'Clearing 3.1 fix version... it\'s not clear how we can fix this w/o drastic API changes...'
1,0,0,0,0,'We could also [someday] move deletes to a stacked model... where we only write \"deltas\" (newly deleted docs in the current session) against the segment, and on open we coalesce these. '
1,0,0,0,0,'I believe we need a secondary sequence id\r\narray for deleted docs that is init\'d to -1. '
0,0,0,0,1,'Is there\r\nany reason we need to apply deletes in the actual updateDoc and\r\ndeleteDoc methods?'
0,0,0,0,0,'\r\nWell you are using a custom collector anyway if you are doing this, so can\'t we just add a sentence to that\r\nmethod\'s javadocs indicating that you should return false if you want to use the scorer navigation apis?'
1,0,0,0,0,'Anyway, I think there is still a need for this if we can provide it as a non-default option?'
0,0,0,0,0,'DecisionOr we could just fold both the booleans into \'BS1 is ok\' ... are they used anywhere else?  !https://i'
0,0,0,1,0,'I\'m implementing a basic doc id iterator per DWPT which will allow us to implement delete by term, and the deleted docs sequence ids. '
0,0,0,0,0,'EG someday we could make BS1 score docs in order , and then this workaround no longer works.'
0,0,0,0,0,'So returning \"false\" works around the issue currently, but it would not hurt if somebody would return false, although our new BS1 can handle in order. '
0,0,0,0,0,'If we wanted to do this in the future, we could just rename scoreDocsInOrder\r\nto needsNavigation.\r\n\r\n'
0,1,0,0,0,'+1 on my end as well'
0,0,0,0,0,'https://issues.apache.org/jira/images/icons/emoticons/smile.png|width=16,height=16!'
0,0,0,0,0,'I am forgetting how concurrency will work in this case, ie,\r\ninsuring multi-threaded visibility due to the JMM. '
1,0,0,0,0,'Actually,\r\nbecause we\'re pausing the writes/deletes when get reader is\r\ncalled on the DWPT, JMM concurren'
1,0,0,0,0,'Nothing can be deleted without the terms dictionary and the terms docs working in order to obtain the doc ids to delete.'
0,0,0,0,1,'And, for saving the new deletes in the directory (though this is not really important for the RT case).'
0,0,0,0,0,'When the deleted docs Bits is being accessed,\r\nfor a given doc, we\'ll compare the IRs seq-id-up-to with the\r\ndel-docs-seq-id, and if the IR seq-id is greater than or equal\r\nto, the Bits.get method will return true, meaning the document\r\nis deleted.\r\n\r\n'
0,0,0,1,0,'Committed revision 899955. '
0,0,0,0,0,'When a document is\r\ndeleted, the sequence id is set for that doc in the\r\ndel-docs-seq-arr. '
0,0,0,1,0,'Also, when we load up the BV on IW start, then I guess we\'ll need to init the array appropriately.'
1,0,0,0,0,'Then we should be able to\r\nimplement deleting, which doesn\'t require skip lists. '
1,0,0,0,0,'I guess if\r\nwe really wanted to, we could simply buffer terms and only apply\r\nthem in getReader. getReader would block any writes that could\r\nbe altering the *BlockPools. '
0,0,0,0,0,'\r\nI don\'t agree: the strangeness is the two booleans toplevelScorer and scoreDocsInOrder. '
0,0,0,0,0,'It does not only affect freq. '
0,0,0,0,0,'As you need a custom collector anyway to make use of Scorer.getChildren, we should maybe make BS1 throw UOE on getChildren in 4.0  and visitSubScorers in 3.6.2?'
0,0,0,1,0,'If this is so, the test should pass, so I added an exit condition, if the data dir is not available'
0,0,0,0,0,'The problem is that \"scoresDocsInOrder\" doesn\'t really capture what\'s necessary here .\r\n\r\n'
0,0,0,0,0,'And I agree Robert: the current booleans \"topLevelScorer\" and \"scoreDocsInOrder\", and then a new \"needsNavigation\", will make things rather confusing. '
0,0,0,0,0,'I agree Uwe: if we add a Collector.needsNavigation then even a \"fixed\" BS1 that sorted the docIDs before collection would not be usable since the subs will not be \"on\" the doc during collect.\r\n\r\n'
0,0,0,0,0,'ProIf we don\'t think any other future scorer would want to score docs NOT in order ... then maybe we should simple rename scoreDocsInOrder to needsNavigation? (Or scoreDocAtOnce, scoreDocAtATime, something else'
0,1,0,0,0,'What do we do with Solr? '
0,0,0,0,0,'Move issue to Lucene 4.9.'
0,1,0,0,0,'This may be the reason why Solr does not show any problems!?'
0,0,1,0,0,'We cannot declare both methods '
0,1,0,0,0,'With this patch it now behaves equal to bw checkouts:\r\n - If you have no svn.exe available, it will ignore the checkout. '
0,0,0,0,0,'or). And the navigation api  should be separated from score and freq - a simple java interface Scorer. So the current in-order scorer '
0,0,0,1,0,'OK, new patch; I changed to EOFE, and I just use in.toString() instead of special casing DI vs II.\r\n\r\n'
0,0,0,0,0,'\r\nWell let\'s remember that the \"must have doc-at-once scoring, for all subs too\" is a very rare use-case.\r\n\r\n'
1,0,0,0,0,'Otherwise I am fine with committing this. '
0,1,0,0,0,'BTW: Maybe we can enable rawtypes and unchecked errors earlier in Lucene and leave them disabled in Solr. '
0,1,0,0,0,'The data dir now exists but the build should stop in this case.'
0,1,0,0,0,'It would be really helpful to get this as soon as possible in the next Lucene version.'
0,1,0,0,0,'\r\nI agree: let\'s fix that.'
0,0,0,1,0,'But we should really work on removing unsafe and rawtypes warnings from functions module. '
0,0,0,0,0,'rface.\r\n\r\nBut yeah I agree: it should be strongly typed, and BS1 should only implement the .score interface. The Scores'
0,0,0,0,0,'DecisionThe vast majority of users just need a fast .score interface.\r\n\r\nBut yeah I'
0,0,0,0,0,'Bulk move 4.4 issues to 4.5 and 5.0'
1,0,0,0,0,'Let\'s assume that you are willing to state the same sort of invariants for a query object that are embodied in parser support. '
0,1,0,0,0,'Now those are completely undetected (no warning, no error).'
0,0,0,0,0,'But yeah, if we are going to have booleans, i would prefer something more along the lines of document-at-a-time since its less confusing than'
0,0,0,1,0,'i add the getSnowballWordSet to WordListLoader'
0,0,0,0,0,'this seems to be related to [-LUCENE-3874-|https://issues.apache.org/jira/browse/LUCENE-3874]. The patch in [-LUCENE-3874-|https://issues.apache.org/jira/browse/LUCENE-3874] isn\'t actually working all the time since on very large positions is > Int.MAX >> 1 we can easily shift a leading 1 in FreqProxTermsWriterPerField#writeProx makeing the position value negative. I think we need to do something like:\r\n'
0,0,0,0,0,'In general, that that addIndexesNoOptimize messes w/ SI seems dangerous to me, because that\'s undocumented and unprotected - e.g. if someone extends IW and adds some logic which requires reading SI ... I\'m not sure how to solve it, but that seems unrelated to that issue .'
0,0,0,0,0,'Obtaining the lock for this purpose does not seem the right way to me ... '
0,0,0,0,0,'I did not implement ReaderCommit to support deletes. '
0,0,0,0,0,'IndexWriter has a deleteUnusedFiles which the application can use. '
0,1,0,0,0,'Fixed by Mike, thanks Mike!'
0,1,0,0,0,'\r\nyeah I agree. '
0,1,0,0,0,'thanks Simon, I agree '
1,0,0,0,0,'Hmm I think we need a separate check in FreqProxTermsWriterPerField?\r\n\r\n'
1,0,0,0,0,'reopening to address the issue of demo source code being in the binary checkout... we should either include it, or change the demo instructions to tell people to get the demo sources from the source release'
0,0,0,1,0,'when i changed the backwards tests i added a new param to svn exec task. '
0,0,0,0,0,'In trunk we can remove it and only provide List.'
1,0,0,0,0,'We could instantiate a new array when the map reached a certain size?'
1,0,0,0,0,'So, for each Query object class, make a Jackson mixin class, that maps the \'official inputs\' to the current collection of setters/constructor arguments. '
0,1,0,0,0,'But backwards does not fail now'
0,0,0,1,0,'\r\nThis isn\'t strictly necessary, I think? '
0,1,0,0,0,'+1 to commit'
0,0,0,0,0,'Not sure it\'s worth the efforts.\r\n\r\n'
0,0,0,0,0,'Bulk close for 3.1'
0,0,0,1,0,'I\'ll drop that to 50...\r\n\r\n'
0,1,0,0,0,'iff there is, shouldnt normsconsumer[perfield] pull the impl from the codec?'
1,0,0,0,0,'Changed NativeFSLock.release() to first obtain and then release the lock, if it\'s not held. That way, if obtain fails, LockReleaseFailedException is thrown, to indicate that.'
0,0,0,1,0,'Yes, thanks, now it passes (trunk) - with this seed as well quite a few times without specifying a seed. \r\n'
